,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
404,2017,Yorkshire and the Humber,K,   20-49,2,50, ..
405,2017,Yorkshire and the Humber,K,   50-99,2,30, ..
406,2017,Yorkshire and the Humber,K,   100-199,*,5, ..
407,2017,Yorkshire and the Humber,K,   200-249,*,5, ..
408,2017,Yorkshire and the Humber,K,   250-499,2,5, ..
409,2017,Yorkshire and the Humber,K,   500 or more,69,10, ..
410,2017,Yorkshire and the Humber,L,   1,*,190,*
411,2017,Yorkshire and the Humber,L,   2-4,5,1685,538
412,2017,Yorkshire and the Humber,L,   5-9,4,570,382
413,2017,Yorkshire and the Humber,L,   10-19,3,235,273
414,2017,Yorkshire and the Humber,L,   20-49,2,65,131
415,2017,Yorkshire and the Humber,L,   50-99,*,15,*
416,2017,Yorkshire and the Humber,L,   100-199,1,5,*
417,2017,Yorkshire and the Humber,L,   200-249,*,0,*
418,2017,Yorkshire and the Humber,L,   250-499,*,5,*
419,2017,Yorkshire and the Humber,L,   500 or more,6,5,487
420,2017,Yorkshire and the Humber,M,   1,2,1000,128
421,2017,Yorkshire and the Humber,M,   2-4,19,7325,1759
422,2017,Yorkshire and the Humber,M,   5-9,12,1730,1030
423,2017,Yorkshire and the Humber,M,   10-19,12,895,995
424,2017,Yorkshire and the Humber,M,   20-49,14,450,1124
425,2017,Yorkshire and the Humber,M,   50-99,10,150,1248
426,2017,Yorkshire and the Humber,M,   100-199,9,65,929
427,2017,Yorkshire and the Humber,M,   200-249,2,10,96
428,2017,Yorkshire and the Humber,M,   250-499,7,20,1458
429,2017,Yorkshire and the Humber,M,   500 or more,18,15,4283
430,2017,Yorkshire and the Humber,N,   1,3,1440,358
431,2017,Yorkshire and the Humber,N,   2-4,11,3710,1306
432,2017,Yorkshire and the Humber,N,   5-9,8,1140,991
433,2017,Yorkshire and the Humber,N,   10-19,9,675,1127
434,2017,Yorkshire and the Humber,N,   20-49,11,365,1827
435,2017,Yorkshire and the Humber,N,   50-99,12,175,1056
436,2017,Yorkshire and the Humber,N,   100-199,12,85,1021
437,2017,Yorkshire and the Humber,N,   200-249,6,25,602
438,2017,Yorkshire and the Humber,N,   250-499,9,25,1307
439,2017,Yorkshire and the Humber,N,   500 or more,59,40,2094
440,2017,Yorkshire and the Humber,P,   1,0,70,*
441,2017,Yorkshire and the Humber,P,   2-4,2,670,157
442,2017,Yorkshire and the Humber,P,   5-9,2,285,108
443,2017,Yorkshire and the Humber,P,   10-19,3,195,125
444,2017,Yorkshire and the Humber,P,   20-49,3,100,*
445,2017,Yorkshire and the Humber,P,   50-99,2,25,93
446,2017,Yorkshire and the Humber,P,   100-199,*,5,48
447,2017,Yorkshire and the Humber,P,   200-249,*,5,*
448,2017,Yorkshire and the Humber,P,   250-499,2,5,43
449,2017,Yorkshire and the Humber,P,   500 or more,*,0,*
450,2017,Yorkshire and the Humber,Q,   1,*,405,44
451,2017,Yorkshire and the Humber,Q,   2-4,5,1590,252
452,2017,Yorkshire and the Humber,Q,   5-9,6,780,295
453,2017,Yorkshire and the Humber,Q,   10-19,14,925,738
454,2017,Yorkshire and the Humber,Q,   20-49,24,735,1372
455,2017,Yorkshire and the Humber,Q,   50-99,15,215,685
456,2017,Yorkshire and the Humber,Q,   100-199,10,75,402
457,2017,Yorkshire and the Humber,Q,   200-249,*,10,114
458,2017,Yorkshire and the Humber,Q,   250-499,7,20,254
459,2017,Yorkshire and the Humber,Q,   500 or more,26,20,668
460,2017,Yorkshire and the Humber,R,   1,*,165,18
461,2017,Yorkshire and the Humber,R,   2-4,2,795,139
462,2017,Yorkshire and the Humber,R,   5-9,2,320,100
463,2017,Yorkshire and the Humber,R,   10-19,2,180,150
464,2017,Yorkshire and the Humber,R,   20-49,4,130,*
465,2017,Yorkshire and the Humber,R,   50-99,2,35,*
466,2017,Yorkshire and the Humber,R,   100-199,3,25,262
467,2017,Yorkshire and the Humber,R,   200-249,2,10,78
468,2017,Yorkshire and the Humber,R,   250-499,3,10,108
469,2017,Yorkshire and the Humber,R,   500 or more,*,5,196
470,2017,Yorkshire and the Humber,S,   1,2,1050,*
471,2017,Yorkshire and the Humber,S,   2-4,9,2810,383
472,2017,Yorkshire and the Humber,S,   5-9,6,910,252
473,2017,Yorkshire and the Humber,S,   10-19,4,265,181
474,2017,Yorkshire and the Humber,S,   20-49,2,80,166
475,2017,Yorkshire and the Humber,S,   50-99,*,15,96
476,2017,Yorkshire and the Humber,S,   100-199,*,0,*
477,2017,Yorkshire and the Humber,S,   200-249,0,0,0
478,2017,Yorkshire and the Humber,S,   250-499,0,0,0
479,2017,Yorkshire and the Humber,S,   500 or more,*,0,*
480,2017,East Midlands,A,   1,4,1420,277
481,2017,East Midlands,A,   2-4,8,2090,806
482,2017,East Midlands,A,   5-9,5,660,603
483,2017,East Midlands,A,   10-19,3,245,386
484,2017,East Midlands,A,   20-49,3,110,464
485,2017,East Midlands,A,   50-99,2,20,252
486,2017,East Midlands,A,   100-199,*,10,*
487,2017,East Midlands,A,   200-249,*,0,*
488,2017,East Midlands,A,   250-499,*,5,*
489,2017,East Midlands,A,   500 or more,0,0,0
490,2017,East Midlands,B,   1,0,20,4
491,2017,East Midlands,B,   2-4,1,205,155
492,2017,East Midlands,B,   5-9,1,140,293
493,2017,East Midlands,B,   10-19,1,70,138
494,2017,East Midlands,B,   20-49,2,50,230
495,2017,East Midlands,B,   50-99,1,15,194
496,2017,East Midlands,B,   100-199,*,5,195
497,2017,East Midlands,B,   200-249,*,0,*
498,2017,East Midlands,B,   250-499,*,0,*
499,2017,East Midlands,B,   500 or more,*,0,*
500,2017,East Midlands,C,   1,1,480,70
501,2017,East Midlands,C,   2-4,9,2955,951
502,2017,East Midlands,C,   5-9,12,1785,1078
503,2017,East Midlands,C,   10-19,18,1285,1652
504,2017,East Midlands,C,   20-49,30,965,3287
505,2017,East Midlands,C,   50-99,29,415,3928
506,2017,East Midlands,C,   100-199,27,195,4481
507,2017,East Midlands,C,   200-249,10,45,1538
508,2017,East Midlands,C,   250-499,25,70,4818
509,2017,East Midlands,C,   500 or more,90,40,22660
510,2017,East Midlands,F,   1,4,1640,281
511,2017,East Midlands,F,   2-4,19,6905,2436
512,2017,East Midlands,F,   5-9,12,1825,1679
513,2017,East Midlands,F,   10-19,11,790,1605
514,2017,East Midlands,F,   20-49,11,360,1861
