,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
413,2013,Yorkshire and the Humber,L,   10-19,3,205,218
414,2013,Yorkshire and the Humber,L,   20-49,2,55,111
415,2013,Yorkshire and the Humber,L,   50-99,1,15,*
416,2013,Yorkshire and the Humber,L,   100-199,*,5,*
417,2013,Yorkshire and the Humber,L,   200-249,*,0,*
418,2013,Yorkshire and the Humber,L,   250-499,*,5,*
419,2013,Yorkshire and the Humber,L,   500 or more,*,5,*
420,2013,Yorkshire and the Humber,M,   1,*,1045,*
421,2013,Yorkshire and the Humber,M,   2-4,15,5550,1081
422,2013,Yorkshire and the Humber,M,   5-9,11,1575,927
423,2013,Yorkshire and the Humber,M,   10-19,12,830,1047
424,2013,Yorkshire and the Humber,M,   20-49,12,405,1497
425,2013,Yorkshire and the Humber,M,   50-99,10,140,755
426,2013,Yorkshire and the Humber,M,   100-199,8,60,951
427,2013,Yorkshire and the Humber,M,   200-249,*,5,*
428,2013,Yorkshire and the Humber,M,   250-499,*,15,*
429,2013,Yorkshire and the Humber,M,   500 or more,18,15,1420
430,2013,Yorkshire and the Humber,N,   1,2,1050,196
431,2013,Yorkshire and the Humber,N,   2-4,9,2850,811
432,2013,Yorkshire and the Humber,N,   5-9,7,1030,744
433,2013,Yorkshire and the Humber,N,   10-19,8,550,880
434,2013,Yorkshire and the Humber,N,   20-49,10,330,1213
435,2013,Yorkshire and the Humber,N,   50-99,11,165,729
436,2013,Yorkshire and the Humber,N,   100-199,12,85,1192
437,2013,Yorkshire and the Humber,N,   200-249,4,15,717
438,2013,Yorkshire and the Humber,N,   250-499,12,35,361
439,2013,Yorkshire and the Humber,N,   500 or more,45,25,798
440,2013,Yorkshire and the Humber,P,   1,0,85,*
441,2013,Yorkshire and the Humber,P,   2-4,2,560,90
442,2013,Yorkshire and the Humber,P,   5-9,2,255,*
443,2013,Yorkshire and the Humber,P,   10-19,2,175,*
444,2013,Yorkshire and the Humber,P,   20-49,3,95,*
445,2013,Yorkshire and the Humber,P,   50-99,1,15,*
446,2013,Yorkshire and the Humber,P,   100-199,1,10,*
447,2013,Yorkshire and the Humber,P,   200-249,*,5,*
448,2013,Yorkshire and the Humber,P,   250-499,*,5,*
449,2013,Yorkshire and the Humber,P,   500 or more,*,0,*
450,2013,Yorkshire and the Humber,Q,   1,1,500,53
451,2013,Yorkshire and the Humber,Q,   2-4,3,1060,*
452,2013,Yorkshire and the Humber,Q,   5-9,6,805,299
453,2013,Yorkshire and the Humber,Q,   10-19,14,875,674
454,2013,Yorkshire and the Humber,Q,   20-49,26,795,1243
455,2013,Yorkshire and the Humber,Q,   50-99,14,205,554
456,2013,Yorkshire and the Humber,Q,   100-199,7,50,235
457,2013,Yorkshire and the Humber,Q,   200-249,3,15,*
458,2013,Yorkshire and the Humber,Q,   250-499,5,15,144
459,2013,Yorkshire and the Humber,Q,   500 or more,47,15,1301
460,2013,Yorkshire and the Humber,R,   1,*,175,21
461,2013,Yorkshire and the Humber,R,   2-4,2,725,144
462,2013,Yorkshire and the Humber,R,   5-9,2,275,*
463,2013,Yorkshire and the Humber,R,   10-19,2,140,*
464,2013,Yorkshire and the Humber,R,   20-49,*,100,*
465,2013,Yorkshire and the Humber,R,   50-99,2,25,73
466,2013,Yorkshire and the Humber,R,   100-199,2,15,*
467,2013,Yorkshire and the Humber,R,   200-249,*,10,*
468,2013,Yorkshire and the Humber,R,   250-499,*,10,*
469,2013,Yorkshire and the Humber,R,   500 or more,*,5,*
470,2013,Yorkshire and the Humber,S,   1,2,1045,*
471,2013,Yorkshire and the Humber,S,   2-4,9,2615,334
472,2013,Yorkshire and the Humber,S,   5-9,6,820,229
473,2013,Yorkshire and the Humber,S,   10-19,3,245,181
474,2013,Yorkshire and the Humber,S,   20-49,2,80,141
475,2013,Yorkshire and the Humber,S,   50-99,*,10,*
476,2013,Yorkshire and the Humber,S,   100-199,*,5,*
477,2013,Yorkshire and the Humber,S,   200-249,0,0,0
478,2013,Yorkshire and the Humber,S,   250-499,*,0,*
479,2013,Yorkshire and the Humber,S,   500 or more,*,0,*
480,2013,East Midlands,A,   1,4,1555,356
481,2013,East Midlands,A,   2-4,7,1980,779
482,2013,East Midlands,A,   5-9,5,700,575
483,2013,East Midlands,A,   10-19,3,245,415
484,2013,East Midlands,A,   20-49,*,105,452
485,2013,East Midlands,A,   50-99,2,20,194
486,2013,East Midlands,A,   100-199,*,10,*
487,2013,East Midlands,A,   200-249,*,5,*
488,2013,East Midlands,A,   250-499,*,0,*
489,2013,East Midlands,A,   500 or more,0,0,0
490,2013,East Midlands,B,   1,0,30,5
491,2013,East Midlands,B,   2-4,1,175,122
492,2013,East Midlands,B,   5-9,1,105,97
493,2013,East Midlands,B,   10-19,1,75,161
494,2013,East Midlands,B,   20-49,1,50,248
495,2013,East Midlands,B,   50-99,1,15,117
496,2013,East Midlands,B,   100-199,1,10,362
497,2013,East Midlands,B,   200-249,*,0,*
498,2013,East Midlands,B,   250-499,*,0,*
499,2013,East Midlands,B,   500 or more,*,0,*
500,2013,East Midlands,C,   1,1,590,72
501,2013,East Midlands,C,   2-4,9,2880,827
502,2013,East Midlands,C,   5-9,12,1800,1223
503,2013,East Midlands,C,   10-19,18,1275,1580
504,2013,East Midlands,C,   20-49,30,965,3130
505,2013,East Midlands,C,   50-99,27,390,3766
506,2013,East Midlands,C,   100-199,27,190,4278
507,2013,East Midlands,C,   200-249,9,40,1205
508,2013,East Midlands,C,   250-499,25,75,4677
509,2013,East Midlands,C,   500 or more,79,45,20605
510,2013,East Midlands,F,   1,4,1740,*
511,2013,East Midlands,F,   2-4,16,5740,1673
512,2013,East Midlands,F,   5-9,11,1665,1098
513,2013,East Midlands,F,   10-19,10,740,1253
514,2013,East Midlands,F,   20-49,10,355,1553
515,2013,East Midlands,F,   50-99,6,90,919
516,2013,East Midlands,F,   100-199,4,25,779
517,2013,East Midlands,F,   200-249,*,5,*
518,2013,East Midlands,F,   250-499,*,10,*
519,2013,East Midlands,F,   500 or more,*,5,*
520,2013,East Midlands,G,   1,5,2375,487
521,2013,East Midlands,G,   2-4,26,8195,3368
522,2013,East Midlands,G,   5-9,26,3785,6946
523,2013,East Midlands,G,   10-19,24,1725,4356
524,2013,East Midlands,G,   20-49,26,865,5289
525,2013,East Midlands,G,   50-99,16,225,3958
526,2013,East Midlands,G,   100-199,13,90,4235
527,2013,East Midlands,G,   200-249,6,25,1260
528,2013,East Midlands,G,   250-499,13,40,3933
529,2013,East Midlands,G,   500 or more,252,50,35885
530,2013,East Midlands,H,   1,*,395,56
531,2013,East Midlands,H,   2-4,4,1185,310
532,2013,East Midlands,H,   5-9,4,510,305
533,2013,East Midlands,H,   10-19,4,315,520
534,2013,East Midlands,H,   20-49,6,215,608
535,2013,East Midlands,H,   50-99,6,80,624
536,2013,East Midlands,H,   100-199,*,30,*
537,2013,East Midlands,H,   200-249,*,5,*
538,2013,East Midlands,H,   250-499,5,15,693
539,2013,East Midlands,H,   500 or more,*,10,9904
540,2013,East Midlands,I,   1,*,1225,132
541,2013,East Midlands,I,   2-4,12,3450,509
542,2013,East Midlands,I,   5-9,13,1775,441
543,2013,East Midlands,I,   10-19,13,910,380
544,2013,East Midlands,I,   20-49,10,350,326
545,2013,East Midlands,I,   50-99,6,90,210
546,2013,East Midlands,I,   100-199,5,40,193
547,2013,East Midlands,I,   200-249,*,0,*
548,2013,East Midlands,I,   250-499,4,10,*
549,2013,East Midlands,I,   500 or more,*,5,*
550,2013,East Midlands,J,   1,27,11805,1898
551,2013,East Midlands,J,   2-4,122,40525,10892
552,2013,East Midlands,J,   5-9,108,15795,13244
553,2013,East Midlands,J,   10-19,117,8460,11521
554,2013,East Midlands,J,   20-49,145,4810,15742
555,2013,East Midlands,J,   50-99,100,1450,11989
556,2013,East Midlands,J,   100-199,90,655,12203
557,2013,East Midlands,J,   200-249,27,125,3349
558,2013,East Midlands,J,   250-499,82,240,13345
559,2013,East Midlands,J,   500 or more,707,185,90889
560,2013,East Midlands,K,   1,*,75, -
561,2013,East Midlands,K,   2-4,*,645, -
562,2013,East Midlands,K,   5-9,1,210, -
563,2013,East Midlands,K,   10-19,*,95, -
564,2013,East Midlands,K,   20-49,*,50, -
