,Region,Year,Value Added Tax (VAT) on products
831,Buckinghamshire CC,2020,1203
832,Buckinghamshire CC,2021,1324
833,Buckinghamshire CC,2022,1547
834,Oxfordshire CC,2017,1569
835,Oxfordshire CC,2018,1675
836,Oxfordshire CC,2019,1742
837,Oxfordshire CC,2020,1567
838,Oxfordshire CC,2021,1733
839,Oxfordshire CC,2022,2038
840,"Surrey, East and West Sussex",2017,6681
841,"Surrey, East and West Sussex",2018,6692
842,"Surrey, East and West Sussex",2019,6952
843,"Surrey, East and West Sussex",2020,6238
844,"Surrey, East and West Sussex",2021,6864
845,"Surrey, East and West Sussex",2022,8038
846,Brighton and Hove,2017,651
847,Brighton and Hove,2018,654
848,Brighton and Hove,2019,674
