,Region,Year,Gross value added (Balanced) at current basic prices
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,100111
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,101164
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,106346
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,116001
816,Berkshire,2017,41795
817,Berkshire,2018,44226
818,Berkshire,2019,46509
819,Berkshire,2020,47235
820,Berkshire,2021,49830
821,Berkshire,2022,54689
822,Milton Keynes,2017,13011
823,Milton Keynes,2018,13511
824,Milton Keynes,2019,13869
825,Milton Keynes,2020,13442
826,Milton Keynes,2021,14314
827,Milton Keynes,2022,15040
