,Region,Year,Gross domestic product (GDP) per head at current market prices
750,Bromley,2017,27762
751,Bromley,2018,28237
752,Bromley,2019,27856
753,Bromley,2020,25110
754,Bromley,2021,25718
755,Bromley,2022,27607
756,Croydon,2017,26583
757,Croydon,2018,28462
758,Croydon,2019,29928
759,Croydon,2020,27652
760,Croydon,2021,29539
761,Croydon,2022,32105
762,"Merton, Kingston upon Thames and Sutton",2017,28721
763,"Merton, Kingston upon Thames and Sutton",2018,29049
764,"Merton, Kingston upon Thames and Sutton",2019,29748
765,"Merton, Kingston upon Thames and Sutton",2020,26573
766,"Merton, Kingston upon Thames and Sutton",2021,27870
767,"Merton, Kingston upon Thames and Sutton",2022,30135
768,Outer London - West and North West,2017,36230
769,Outer London - West and North West,2018,36622
770,Outer London - West and North West,2019,37289
771,Outer London - West and North West,2020,31544
772,Outer London - West and North West,2021,32645
773,Outer London - West and North West,2022,35819
774,Barnet,2017,25394
775,Barnet,2018,26012
776,Barnet,2019,26536
777,Barnet,2020,24978
778,Barnet,2021,26766
779,Barnet,2022,29211
780,Brent,2017,28296
781,Brent,2018,28101
782,Brent,2019,29694
783,Brent,2020,27380
784,Brent,2021,28698
785,Brent,2022,30962
786,Ealing,2017,28708
787,Ealing,2018,28905
788,Ealing,2019,28929
789,Ealing,2020,27420
790,Ealing,2021,27887
791,Ealing,2022,28604
792,Harrow and Hillingdon,2017,38614
793,Harrow and Hillingdon,2018,39149
794,Harrow and Hillingdon,2019,39439
795,Harrow and Hillingdon,2020,30832
796,Harrow and Hillingdon,2021,32409
797,Harrow and Hillingdon,2022,35433
798,Hounslow and Richmond upon Thames,2017,53551
799,Hounslow and Richmond upon Thames,2018,54128
800,Hounslow and Richmond upon Thames,2019,55100
801,Hounslow and Richmond upon Thames,2020,43691
802,Hounslow and Richmond upon Thames,2021,44030
803,Hounslow and Richmond upon Thames,2022,50484
804,South East,2017,33444
805,South East,2018,34413
806,South East,2019,36052
807,South East,2020,34898
808,South East,2021,36703
809,South East,2022,39921
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,40523
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,42158
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,44133
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,43795
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,45756
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,49454
816,Berkshire,2017,48470
817,Berkshire,2018,50838
818,Berkshire,2019,53109
819,Berkshire,2020,53145
820,Berkshire,2021,55894
821,Berkshire,2022,60958
822,Milton Keynes,2017,50577
823,Milton Keynes,2018,52073
824,Milton Keynes,2019,52972
825,Milton Keynes,2020,50610
826,Milton Keynes,2021,53297
827,Milton Keynes,2022,55470
