,Region,Year,Total resident population numbers
764,"Merton, Kingston upon Thames and Sutton",2019,595532
765,"Merton, Kingston upon Thames and Sutton",2020,596792
766,"Merton, Kingston upon Thames and Sutton",2021,593035
767,"Merton, Kingston upon Thames and Sutton",2022,593064
768,Outer London - West and North West,2017,2124542
769,Outer London - West and North West,2018,2142013
770,Outer London - West and North West,2019,2160841
771,Outer London - West and North West,2020,2159281
772,Outer London - West and North West,2021,2144710
773,Outer London - West and North West,2022,2157507
774,Barnet,2017,384117
775,Barnet,2018,387574
776,Barnet,2019,390590
777,Barnet,2020,391046
778,Barnet,2021,388955
779,Barnet,2022,389101
780,Brent,2017,342439
781,Brent,2018,345558
782,Brent,2019,347424
783,Brent,2020,343988
784,Brent,2021,339248
785,Brent,2022,341221
786,Ealing,2017,362670
787,Ealing,2018,364208
788,Ealing,2019,367284
789,Ealing,2020,367936
790,Ealing,2021,366762
791,Ealing,2022,369937
792,Harrow and Hillingdon,2017,557350
793,Harrow and Hillingdon,2018,562124
794,Harrow and Hillingdon,2019,567706
795,Harrow and Hillingdon,2020,568741
796,Harrow and Hillingdon,2021,566266
797,Harrow and Hillingdon,2022,571866
798,Hounslow and Richmond upon Thames,2017,477966
799,Hounslow and Richmond upon Thames,2018,482549
800,Hounslow and Richmond upon Thames,2019,487837
801,Hounslow and Richmond upon Thames,2020,487570
802,Hounslow and Richmond upon Thames,2021,483479
803,Hounslow and Richmond upon Thames,2022,485382
804,South East,2017,9105076
805,South East,2018,9150245
806,South East,2019,9193770
807,South East,2020,9225273
808,South East,2021,9295829
809,South East,2022,9379833
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,2438363
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,2457736
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,2475951
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,2492612
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,2521231
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,2549668
816,Berkshire,2017,926825
817,Berkshire,2018,934602
818,Berkshire,2019,940145
819,Berkshire,2020,945073
